                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3342,                 3.9004,                 1.3213,                0.00179,                      1,                0.34237,                0.23704,                0.67641,                     67,                 0.8541,                0.00012,                0.00012,                0.00012
                      2,                 1.1421,                 3.3858,                 1.2388,                0.00173,                0.96552,                0.40322,                0.28935,                 0.7189,                 64.351,                0.85136,             0.00024713,             0.00024713,             0.00024713
                      3,                 1.1117,                 3.1206,                 1.1844,                 0.0017,                0.94828,                0.52685,                0.38154,                0.85354,                 64.878,                0.98454,              0.0003604,              0.0003604,              0.0003604
                      4,                 1.2031,                 3.1121,                 1.2182,                0.00179,                      1,                0.64355,                0.47468,                0.73948,                 65.663,                0.96959,             0.00045981,             0.00045981,             0.00045981
                      5,                 1.1611,                 2.9172,                 1.2271,                0.82488,                 0.4062,                0.69087,                0.49348,                0.78938,                 64.981,                0.93245,             0.00054536,             0.00054536,             0.00054536
                      6,                 1.1053,                 2.7354,                 1.2061,                0.72687,                0.36719,                0.64983,                0.43748,                 0.7978,                 63.208,                0.95471,             0.00061705,             0.00061705,             0.00061705
                      7,                 1.1048,                 2.3638,                 1.1874,                0.80705,                0.50491,                0.69376,                0.49679,                0.85777,                 59.896,                0.95806,             0.00067488,             0.00067488,             0.00067488
                      8,                  1.188,                 2.5051,                 1.2808,                0.70891,                0.44828,                0.62143,                0.43336,                0.92175,                 58.973,                 1.0177,             0.00071885,             0.00071885,             0.00071885
                      9,                 1.1779,                 2.7627,                 1.2294,                0.73363,                0.48276,                0.63673,                0.45008,                0.86405,                 57.321,                 1.0047,             0.00074896,             0.00074896,             0.00074896
                     10,                 1.1419,                  2.418,                 1.2596,                0.71168,                0.59589,                0.66263,                0.42962,                0.89084,                 55.798,                 1.0104,             0.00076521,             0.00076521,             0.00076521
                     11,                0.96048,                 4.2782,                  1.191,                0.73098,                0.42176,                0.64275,                0.46282,                0.92109,                 53.744,                 1.0444,              0.0007676,              0.0007676,              0.0007676
                     12,                  1.164,                 5.3187,                 1.2328,                0.49369,                0.41379,                0.39945,                0.21865,                 1.3713,                 52.938,                   1.44,             0.00075613,             0.00075613,             0.00075613
                     13,                 1.2415,                 3.6466,                 1.2557,                0.74821,                0.40996,                0.50916,                0.28652,                 1.2971,                 54.818,                 1.3603,              0.0007308,              0.0007308,              0.0007308
                     14,                 1.2006,                 3.6602,                 1.2109,                0.57859,                0.43103,                0.47118,                0.30939,                 1.1025,                 92.581,                 1.2652,             0.00069161,             0.00069161,             0.00069161
                     15,                 1.2278,                  3.553,                 1.2985,                0.55401,                0.51406,                 0.5407,                0.37293,                0.98662,                 164.12,                  1.214,               0.000614,               0.000614,               0.000614
                     16,                 1.0789,                 3.2376,                 1.2211,                0.55818,                0.62069,                0.60539,                0.45061,                 0.9089,                  178.5,                 1.0996,               0.000614,               0.000614,               0.000614
                     17,                 1.0603,                 3.9536,                  1.237,                0.60945,                0.60345,                0.61823,                0.45443,                0.89667,                 139.08,                 1.0443,               0.000515,               0.000515,               0.000515
                     18,                0.90089,                 3.4325,                 1.1369,                0.69582,                0.60345,                0.65093,                0.46987,                0.89512,                 79.213,                 1.0204,               0.000416,               0.000416,               0.000416
                     19,                0.99724,                 4.1269,                  1.127,                0.83256,                0.60345,                0.72807,                0.53766,                 0.8164,                 52.623,                0.92335,               0.000317,               0.000317,               0.000317
                     20,                0.99574,                 2.7089,                 1.1943,                0.79872,                0.75862,                0.80443,                0.60362,                0.76951,                 48.318,                0.90394,               0.000218,               0.000218,               0.000218
